"","x"
"1568",10762
"1569",8318
"1570",1312
"1571",51816
"1572",NA
"1573",55862
"1574",9209
"1575",9117
"1576",9942
"1577",10013
"1578",990
"1579",139596
"1580",8697
"1581",8086
"1582",23468
"1583",2327
"1584",51430
"1585",4436
"1586",4214
"1587",1725
"1588",29911
"1589",372
"1590",54566
"1591",55151
"1592",5711
"1593",5742
"1594",23511
"1595",1384
"1596",54187
"1597",55357
"1598",25861
"1599",55280
"1600",57715
"1601",9044
"1602",64376
"1603",25805
"1604",3589
"1605",51322
"1606",1390
"1607",10101
"1608",3096
"1609",2289
"1610",6732
"1611",27154
"1612",55168
"1613",28978
"1614",114327
"1615",3326
"1616",988
"1617",3710
"1618",7738
"1619",1832
"1620",23411
"1621",3189
"1622",80173
"1623",3717
"1624",25
"1625",11332
"1626",51100
"1627",8317
"1628",84144
"1629",5125
"1630",6319
"1631",11018
"1632",3983
"1633",79956
"1634",22931
"1635",8829
"1636",56952
"1637",54873
"1638",23555
"1639",55506
"1640",387680
"1641",23031
"1642",7593
"1643",79629
"1644",4650
"1645",9424
"1646",5714
"1647",54620
"1648",112755
"1649",80270
"1650",9739
"1651",9274
"1652",1153
"1653",513
"1654",255057
"1655",4670
"1656",51257
"1657",4713
"1658",9524
"1659",26517
"1660",997
"1661",4507
"1662",283638
"1663",5434
"1664",5442
"1665",610
"1666",53841
"1667",113177
"1668",8045
"1669",4616
"1670",5064
"1671",8174
"1672",51214
"1673",2872
"1674",421
"1675",27037
"1676",5902
"1677",29801
"1678",84861
"1679",51586
"1680",9342
"1681",1399
"1682",8216
"1683",4320
"1684",6598
"1685",9127
"1686",23786
"1687",100037417
"1688",100037417
"1689",2953
"1690",23523
"1691",83874
"1692",56241
"1693",10291
"1694",2687
"1695",200312
"1696",23541
"1697",23384
"1698",23759
"1699",51733
"1700",29799
"1701",6634
"1702",23481
"1703",5594
"1704",2678
"1705",9647
"1706",339665
"1707",8940
"1708",27128
"1709",8220
"1710",29775
"1711",6576
"1712",157
"1713",50487
"1714",26088
"1715",7290
"1716",23616
"1717",3956
"1718",89781
"1719",113791
"1720",402055
"1721",23598
"1722",11078
"1723",24144
"1724",23464
"1725",129138
"1726",51386
"1727",4809
"1728",85377
"1729",5435
"1730",79879
"1731",9681
"1732",9463
"1733",23331
"1734",23539
"1735",79019
"1736",11015
"1737",10521
"1738",6942
"1739",150274
"1740",25776
"1741",56993
"1742",7494
"1743",51493
"1744",9929
"1745",25793
"1746",9567
"1747",84271
"1748",9609
"1749",7078
"1750",9701
"1751",6305
"1752",25777
"1753",1727
"1754",10126
"1755",91289
"1756",25807
"1757",11252
"1758",25809
"1759",162
"1760",10042
"1761",10043
"1762",4744
"1763",1120
"1764",638
"1765",3162
"1766",27349
"1767",8563
"1768",4174
"1769",410
"1770",706
"1771",23551
"1772",23170
"1773",23492
"1774",5155
"1775",6122
"1776",55954
"1777",23543
"1778",9145
"1779",10454
"1780",84164
"1781",8897
"1782",54471
"1783",150379
"1784",8542
"1785",80339
"1786",4627
"1787",8911
"1788",25813
"1789",25828
"1790",80020
"1791",8664
"1792",23112
"1793",27352
"1794",11020
"1795",23313
"1796",10478
"1797",55007
"1798",79734
"1799",6767
"1800",9978
"1801",2033
"1802",83746
"1803",150356
"1804",5905
"1805",23264
"1806",84844
"1807",50
"1808",171568
"1809",55687
"1810",5372
"1811",27351
"1812",64781
"1813",23774
"1814",9889
"1815",83933
"1816",63874
"1817",23351
"1818",2287
"1819",56948
"1820",55147
"1821",10419
"1822",1690
"1823",11154
"1824",5427
"1825",79609
"1826",6655
"1827",8814
"1828",51199
"1829",5836
"1830",5706
"1831",64841
"1832",80821
"1833",1033
"1834",10175
"1835",10668
"1836",51382
"1837",26499
"1838",5283
"1839",5684
"1840",10490
"1841",26520
"1842",2954
"1843",9786
"1844",283578
"1845",10598
"1846",23002
"1847",9517
"1848",79890
"1849",5641
"1850",8846
"1851",22938
"1852",3705
"1853",51635
"1854",5494
"1855",51804
"1856",145508
"1857",2079
"1858",3091
"1859",9766
"1860",6430
"1861",1983
"1862",6547
"1863",23405
"1864",79038
"1865",4522
"1866",79882
"1867",9894
"1868",22990
"1869",623
"1870",51527
"1871",7443
"1872",5700
"1873",89932
"1874",9252
"1875",55671
"1876",60686
"1877",5693
"1878",7528
"1879",22985
"1880",57820
"1881",9321
"1882",328
"1883",8106
"1884",10278
"1885",394
"1886",51550
"1887",6729
"1888",57680
"1889",5106
"1890",9692
"1891",80344
"1892",5687
"1893",4792
"1894",51016
"1895",5721
"1896",84312
"1897",9985
"1898",10548
"1899",10484
"1900",51292
"1901",5411
"1902",5875
"1903",4776
"1904",5360
"1905",63935
"1906",2937
"1907",26133
"1908",5834
"1909",26090
"1910",10544
"1911",9837
"1912",22981
"1913",958
"1914",55245
"1915",23613
"1916",10110
"1917",51098
"1918",4605
"1919",57446
"1920",55969
"1921",80336
"1922",6789
"1923",57167
"1924",23394
"1925",5203
"1926",1477
"1927",655
"1928",8480
"1929",7165
"1930",80331
"1931",51497
"1932",1522
"1933",24148
"1934",51012
"1935",26164
"1936",5688
"1937",28231
"1938",4923
"1939",55257
"1940",10732
"1941",11083
"1942",54994
"1943",63910
"1944",55738
"1945",1917
"1946",5753
"1947",26205
"1948",54976
"1949",994
"1950",11237
"1951",10139
"1952",79133
"1953",57761
"1954",9770
"1955",1457
"1956",8760
"1957",81502
"1958",9751
"1959",10326
"1960",10483
"1961",55612
"1962",5332
"1963",10398
"1964",9777
"1965",51340
"1966",23509
"1967",25939
"1968",9371
"1969",140699
"1970",10528
"1971",63905
"1972",3420
"1973",22919
"1974",182
"1975",51654
"1976",6640
"1977",9675
"1978",1869
"1979",58490
"1980",11264
"1981",128866
"1982",1471
"1983",79913
"1984",191
"1985",81610
"1986",60625
"1987",116092
"1988",84557
"1989",128869
"1990",7125
"1991",10005
"1992",57136
"1993",9658
"1994",22850
"1995",79863
"1996",9097
"1997",9218
"1998",64863
"1999",9663
"2000",23347
"2001",10627
"2002",79959
"2003",55125
"2004",8731
"2005",4092
"2006",284217
"2007",23253
"2008",11201
"2009",57534
"2010",5932
"2011",8780
"2012",1478
"2013",25878
"2014",5716
"2015",115201
"2016",412
"2017",6907
"2018",10857
"2019",5422
"2020",4281
"2021",79576
"2022",55916
"2023",100101490
"2024",79868
"2025",5634
"2026",56180
"2027",9949
"2028",91851
"2029",64743
"2030",6839
"2031",8406
"2032",331
"2033",10735
"2034",286410
"2035",215
"2036",28952
"2037",5355
"2038",5358
"2039",8260
"2040",2000
"2041",6594
"2042",340554
"2043",5931
"2044",3750
"2045",9016
"2046",2332
"2047",11040
"2048",10389
"2049",7355
"2050",10084
"2051",2010
"2052",6901
"2053",5230
"2054",84061
"2055",6611
"2056",5251
"2057",8266
"2058",83692
"2059",8411
"2060",6102
"2061",9767
"2062",5127
"2063",8237
"2064",27336
"2065",7076
"2066",2245
"2067",5303
"2068",64840
"2069",10916
"2070",5935
"2071",11279
"2072",27286
"2073",94121
"2074",2491
"2075",1821
"2076",51260
"2077",2717
"2078",51566
"2079",56271
"2080",259232
"2081",2259
"2082",54602
"2083",10673
"2084",22862
"2085",81602
"2086",81617
"2087",688
"2088",8428
"2089",54
"2090",5611
"2091",55757
"2092",8874
"2093",2254
"2094",143
"2095",55578
"2096",10240
"2097",10166
"2098",3839
"2099",2321
"2100",28984
"2101",23078
"2102",160851
"2103",84056
"2104",26512
"2105",79758
"2106",84935
"2107",8848
"2108",1203
"2109",10232
"2110",23295
"2111",23361
"2112",8717
"2113",3299
"2114",11151
"2115",5595
"2116",79153
"2117",79767
"2118",5257
"2119",57149
"2120",10204
"2121",9688
"2122",80152
"2123",10725
"2124",83752
"2125",9683
"2126",23568
"2127",51090
"2128",1723
"2129",10664
"2130",65057
"2131",5432
"2132",50855
"2133",55565
"2134",4324
"2135",79650
"2136",80777
"2137",29070
"2138",4832
"2139",65009
"2140",5713
"2141",79918
"2142",55238
"2143",55697
"2144",3038
"2145",79613
"2146",25839
"2147",55512
"2148",84138
"2149",9057
"2150",23659
"2151",79726
"2152",22879
