"","x"
"1574",27299
"1575",83876
"1576",4064
"1577",27255
"1578",4308
"1579",2780
"1580",2944
"1581",83998
"1582",7252
"1583",148281
"1584",10451
"1585",27159
"1586",3158
"1587",26191
"1588",5738
"1589",11085
"1590",9398
"1591",79679
"1592",91543
"1593",4613
"1594",129607
"1595",6289
"1596",10877
"1597",23418
"1598",81494
"1599",10595
"1600",30062
"1601",2922
"1602",3559
"1603",59340
"1604",85004
"1605",10599
"1606",3824
"1607",3821
"1608",80763
"1609",5555
"1610",4607
"1611",83844
"1612",6658
"1613",51765
"1614",4544
"1615",51361
"1616",1573
"1617",1824
"1618",1830
"1619",1828
"1620",1825
"1621",1823
"1622",2694
"1623",187
"1624",6947
"1625",27202
"1626",9071
"1627",56
"1628",152831
"1629",9413
"1630",84868
"1631",10993
"1632",4440
"1633",6927
"1634",8638
"1635",8739
"1636",92558
"1637",1840
"1638",4951
"1639",79799
"1640",1447
"1641",54490
"1642",84691
"1643",375616
"1644",577
"1645",22881
"1646",3351
"1647",112609
"1648",2045
"1649",1081
"1650",84694
"1651",4005
"1652",2001
"1653",79056
"1654",5630
"1655",269
"1656",90070
"1657",27165
"1658",9840
"1659",84070
"1660",116986
"1661",3891
"1662",5502
"1663",4284
"1664",23416
"1665",23493
"1666",9038
"1667",4829
"1668",7006
"1669",1961
"1670",8291
"1671",2016
"1672",53630
"1673",23563
"1674",10753
"1675",85397
"1676",80896
"1677",9290
"1678",1144
"1679",5077
"1680",80704
"1681",80326
"1682",10913
"1683",11250
"1684",55576
"1685",5100
"1686",11061
"1687",8796
"1688",3936
"1689",285955
"1690",10457
"1691",9771
"1692",313
"1693",1607
"1694",64005
"1695",221938
"1696",27141
"1697",26257
"1698",7080
"1699",57538
"1700",2689
"1701",1444
"1702",6326
"1703",10716
"1704",57471
"1705",6332
"1706",640
"1707",2626
"1708",3586
"1709",56300
"1710",3557
"1711",27179
"1712",26525
"1713",27177
"1714",84639
"1715",653275
"1716",2572
"1717",347168
"1718",286362
"1719",7099
"1720",229
"1721",570
"1722",113220
"1723",401551
"1724",55363
"1725",2516
"1726",254973
"1727",4010
"1728",6366
"1729",27240
"1730",3452
"1731",1761
"1732",347252
"1733",10864
"1734",11131
"1735",27283
"1736",3062
"1737",9856
"1738",3662
"1739",8521
"1740",1208
"1741",347744
"1742",9982
"1743",83888
"1744",7097
"1745",83894
"1746",4647
"1747",11309
"1748",51050
"1749",7274
"1750",81796
"1751",54827
"1752",56649
"1753",4316
"1754",9313
"1755",64066
"1756",23650
"1757",54766
"1758",25833
"1759",53826
"1760",486
"1761",4322
"1762",84000
"1763",838
"1764",440279
"1765",5330
"1766",106821730
"1767",53905
"1768",9153
"1769",64220
"1770",1588
"1771",10017
"1772",51332
"1773",145781
"1774",676
"1775",10964
"1776",204962
"1777",9635
"1778",58511
"1779",10669
"1780",391365
"1781",64240
"1782",6519
"1783",6496
"1784",57159
"1785",1559
"1786",1558
"1787",9023
"1788",10660
"1789",118663
"1790",53836
"1791",84647
"1792",170392
"1793",140766
"1794",2660
"1795",130752
"1796",9626
"1797",84692
"1798",8483
"1799",10021
"1800",51191
"1801",64579
"1802",59067
"1803",22915
"1804",4283
"1805",8999
"1806",2028
"1807",51176
"1808",1950
"1809",84103
"1810",4547
"1811",164714
"1812",64098
"1813",283358
"1814",5149
"1815",121506
"1816",55605
"1817",144402
"1818",5288
"1819",89869
"1820",53919
"1821",939
"1822",83758
"1823",1280
"1824",8499
"1825",23519
"1826",121278
"1827",8549
"1828",11081
"1829",144193
"1830",50511
"1831",429
"1832",121643
"1833",3651
"1834",283375
"1835",8608
"1836",50846
"1837",53831
"1838",8620
"1839",1990
"1840",3695
"1841",112802
"1842",79024
"1843",283385
"1844",122060
"1845",84530
"1846",196541
"1847",140432
"1848",85416
"1849",319089
"1850",283629
"1851",161247
"1852",145226
"1853",2100
"1854",27133
"1855",85439
"1856",122481
"1857",90050
"1858",123041
"1859",51156
"1860",283600
"1861",90527
"1862",405753
"1863",11001
"1864",3067
"1865",9245
"1866",9051
"1867",1543
"1868",170691
"1869",653643
"1870",80125
"1871",60677
"1872",1544
"1873",79748
"1874",51458
"1875",6017
"1876",56964
"1877",4916
"1878",8128
"1879",6457
"1880",124404
"1881",6524
"1882",3687
"1883",10261
"1884",91807
"1885",94160
"1886",85407
"1887",91862
"1888",10164
"1889",497190
"1890",170692
"1891",146225
"1892",161931
"1893",3394
"1894",6123
"1895",64180
"1896",146862
"1897",26689
"1898",84643
"1899",84690
"1900",8631
"1901",162494
"1902",124912
"1903",124773
"1904",80816
"1905",116
"1906",4225
"1907",147407
"1908",80000
"1909",284111
"1910",84225
"1911",23533
"1912",11322
"1913",79092
"1914",79755
"1915",494470
"1916",5596
"1917",8792
"1918",147381
"1919",2886
"1920",5409
"1921",390790
"1922",342667
"1923",114026
"1924",7409
"1925",117286
"1926",63946
"1927",30811
"1928",29947
"1929",7226
"1930",29949
"1931",23624
"1932",6531
"1933",91662
"1934",84467
"1935",9032
"1936",55244
"1937",2854
"1938",89790
"1939",93650
"1940",354
"1941",113091
"1942",402665
"1943",79258
"1944",85452
"1945",63976
"1946",63036
"1947",51702
"1948",114827
"1949",127294
"1950",58985
"1951",84970
"1952",63950
"1953",8547
"1954",84958
"1955",10136
"1956",64129
"1957",1580
"1958",199964
"1959",63948
"1960",343472
"1961",3321
"1962",3744
"1963",163479
"1964",128346
"1965",963
"1966",84432
"1967",10223
"1968",6258
"1969",6375
"1970",6846
"1971",84944
"1972",387597
"1973",1805
"1974",55811
"1975",9970
"1976",2165
"1977",83416
"1978",844
"1979",6004
"1980",148753
"1981",83872
"1982",56956
"1983",6097
"1984",57530
"1985",84072
"1986",255928
"1987",55061
"1988",79802
"1989",388698
"1990",49860
"1991",6279
"1992",91181
"1993",6278
"1994",89872
"1995",3782
"1996",5313
"1997",2312
"1998",58
"1999",84451
"2000",7044
"2001",5778
"2002",127833
"2003",151449
"2004",64241
"2005",130120
"2006",84696
"2007",653192
"2008",653192
"2009",9027
"2010",165545
"2011",84620
"2012",55258
"2013",165257
"2014",284958
"2015",1261
"2016",11249
"2017",80731
"2018",114805
"2019",6323
"2020",57282
"2021",151126
"2022",285175
"2023",5746
"2024",130749
"2025",26154
"2026",57624
"2027",79054
"2028",151835
"2029",80852
"2030",152330
"2031",339896
"2032",1238
"2033",3680
"2034",9389
"2035",6769
"2036",57408
"2037",84873
"2038",22989
"2039",51365
"2040",141
"2041",152404
"2042",8856
"2043",185
"2044",10840
"2045",83893
"2046",9515
"2047",286676
"2048",116211
"2049",4585
"2050",197
"2051",9718
"2052",90113
"2053",201780
"2054",345274
"2055",51316
"2056",85438
"2057",2638
"2058",6622
"2059",287
"2060",2169
"2061",6423
"2062",285533
"2063",8001
"2064",1016
"2065",170690
"2066",133688
"2067",100132916
"2068",3001
"2069",1404
"2070",635
"2071",256006
"2072",1393
"2073",167410
"2074",84466
"2075",171019
"2076",9547
"2077",3950
"2078",153328
"2079",3578
"2080",91937
"2081",2559
"2082",2561
"2083",84651
"2084",2741
"2085",10814
"2086",57451
"2087",3779
"2088",222826
"2089",84249
"2090",2676
"2091",10050
"2092",255626
"2093",353219
"2094",7941
"2095",255426
"2096",101927189
"2097",51557
"2098",221472
"2099",401262
"2100",84630
"2101",51302
"2102",84553
"2103",2569
"2104",256380
"2105",134829
"2106",2830
"2107",84870
"2108",9287
"2109",319100
"2110",83551
"2111",134864
"2112",154197
"2113",7432
"2114",6581
"2115",26238
"2116",221806
"2117",222894
"2118",84847
"2119",135892
"2120",142685
"2121",7455
"2122",340351
"2123",346673
"2124",2041
"2125",285888
"2126",136371
"2127",57502
"2128",401409
"2129",347404
"2130",94122
"2131",8852
"2132",85417
"2133",79742
"2134",7712
"2135",347517
"2136",84636
"2137",2846
"2138",158835
"2139",3561
"2140",7552
"2141",53336
"2142",56000
"2143",92129
"2144",55086
"2145",84443
"2146",3358
"2147",3547
"2148",158763
"2149",2719
"2150",139760
"2151",89885
"2152",4103
"2153",1142
"2154",8973
"2155",9046
