"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","observed.variant.required","observed.variant.requirement.met"
"positive regulation of kinase activity","C3_05_24",3,1,3.7e-24,1,0.4171,11,FALSE
"positive regulation by host of viral process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrion morphogenesis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of establishment of cell polarity","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular lipid catabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"neuron apoptotic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"inner cell mass cell proliferation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"polyamine biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"folic acid metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"organelle inheritance","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"polyol metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of type I interferon-mediated signaling pathway","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"intracellular lipid transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"fat cell differentiation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"iron ion homeostasis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"negative regulation of cell projection organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"dicarboxylic acid metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of anatomical structure size","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of small molecule metabolic process","C3_05_24",0,1,3.7e-24,-1,0.5063,11,FALSE
"pentose-phosphate shunt","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"pericardium development","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"lysosomal protein catabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"carbohydrate derivative transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"alcohol biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of membrane permeability","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"signal peptide processing","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"UV-damage excision repair","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"biological process involved in interaction with host","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"body morphogenesis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"extracellular vesicle biogenesis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"negative regulation of defense response to virus","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"aminoglycan biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"sterol biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"polyamine metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"magnesium ion transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"lamellipodium morphogenesis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of neuron migration","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of glucose metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"monosaccharide biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to acid chemical","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of carbohydrate metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of nervous system development","C3_05_24",0,1,3.7e-24,-1,0.4843,11,FALSE
"regulation of circadian rhythm","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"trabecula morphogenesis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"pigment accumulation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular pigment accumulation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of pinocytosis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of ligase activity","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"smoothened signaling pathway involved in dorsal/ventral neural tube patterning","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"glycosyl compound metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"substantia nigra development","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"negative regulation of GTPase activity","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"axon extension","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of epithelial to mesenchymal transition","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"one-carbon metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"NADPH regeneration","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to dsRNA","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"neuron projection organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"postsynapse organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of ketone biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrion distribution","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of autophagosome maturation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"magnesium ion transmembrane transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell division","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"intermembrane lipid transfer","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"organophosphate ester transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"movement in host","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"extracellular matrix assembly","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular metabolic compound salvage","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of ATP-dependent activity","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cell migration involved in heart development","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to fluid shear stress","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"sphingomyelin biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"ether lipid biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"embryonic body morphogenesis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"amino sugar biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"glycerol ether biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"pigmentation","C3_05_24",1,0,3.7e-24,1,0.2742,11,FALSE
"cellular response to ketone","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"nonribosomal peptide biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"glial cell apoptotic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"lipoprotein catabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"suppression of viral release by host","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"chaperone-mediated autophagy","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of steroid hormone biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"synaptic vesicle lumen acidification","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"semaphorin-plexin signaling pathway involved in neuron projection guidance","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of Golgi organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"Schwann cell differentiation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"neurotrophin signaling pathway","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of microtubule depolymerization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"basement membrane organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment or maintenance of epithelial cell apical/basal polarity","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"face development","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"osteoblast differentiation","C3_05_24",0,1,3.7e-24,-1,0.4707,11,FALSE
"appendage development","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"limb development","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of ATP metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"developmental growth involved in morphogenesis","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"embryonic organ development","C3_05_24",0,1,3.7e-24,-1,0.4174,11,FALSE
"negative regulation of growth","C3_05_24",0,1,3.7e-24,-1,0.4923,11,FALSE
"microtubule depolymerization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"heme metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of neuron apoptotic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"plasma membrane tubulation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"exosomal secretion","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"vasculogenesis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"toxin transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"ncRNA processing","E1_06_14",4,4,3.7e-24,0,1,747,FALSE
"ribosome biogenesis","E1_06_14",3,3,3.7e-24,0,1,747,FALSE
"rRNA metabolic process","E1_06_14",4,3,3.7e-24,0.321928094887362,0.7725,48,FALSE
"proteasome-mediated ubiquitin-dependent protein catabolic process","E1_06_14",2,5,3.7e-24,-1,0.1296,11,FALSE
"regulation of response to DNA damage stimulus","E1_06_14",6,4,3.7e-24,0.485426827170242,0.4679,27,FALSE
"establishment of protein localization to organelle","E1_06_14",5,5,3.7e-24,0,1,747,FALSE
"macroautophagy","E1_06_14",6,4,3.7e-24,0.485426827170242,0.4521,27,FALSE
"regulation of chromosome organization","E1_06_14",4,3,3.7e-24,0.321928094887362,0.7823,48,FALSE
"Golgi vesicle transport","E1_06_14",3,3,3.7e-24,0,1,747,FALSE
"double-strand break repair","E1_06_14",6,3,3.7e-24,0.807354922057604,0.2822,13,FALSE
"histone modification","E1_06_14",3,6,3.7e-24,-0.807354922057604,0.1699,13,FALSE
"sister chromatid segregation","E1_06_14",3,3,3.7e-24,0,1,747,FALSE
"DNA replication","E1_06_14",5,4,3.7e-24,0.263034405833794,0.8066,63,FALSE
"chromosome segregation","E1_06_14",5,5,3.7e-24,0,1,747,FALSE
"mitochondrial gene expression","E1_06_14",0,2,3.7e-24,-1.58496250072116,0.1909,8,FALSE
"nucleocytoplasmic transport","E1_06_14",2,4,3.7e-24,-0.736965594166206,0.2812,16,FALSE
"nuclear transport","E1_06_14",2,4,3.7e-24,-0.736965594166206,0.2812,16,FALSE
"regulation of DNA repair","E1_06_14",5,3,3.7e-24,0.584962500721156,0.3921,22,FALSE
"peptidyl-lysine modification","E1_06_14",1,4,3.7e-24,-1.32192809488736,0.0688,8,FALSE
"protein targeting","E1_06_14",4,4,3.7e-24,0,1,747,FALSE
"cytoplasmic translation","E1_06_14",1,1,3.7e-24,0,1,747,FALSE
"regulation of autophagy","E1_06_14",2,4,3.7e-24,-0.736965594166206,0.2715,16,FALSE
"signal transduction in response to DNA damage","E1_06_14",2,2,3.7e-24,0,1,747,FALSE
"regulation of intracellular transport","E1_06_14",7,4,3.7e-24,0.678071905112638,0.3387,20,FALSE
"protein localization to nucleus","E1_06_14",3,4,3.7e-24,-0.321928094887362,0.6592,48,FALSE
"microtubule cytoskeleton organization involved in mitosis","E1_06_14",3,2,3.7e-24,0.415037499278844,0.7425,34,FALSE
"telomere maintenance","E1_06_14",4,2,3.7e-24,0.736965594166206,0.2714,16,FALSE
"cell cycle checkpoint signaling","E1_06_14",2,2,3.7e-24,0,1,747,FALSE
"regulation of protein modification by small protein conjugation or removal","E1_06_14",2,3,3.7e-24,-0.415037499278844,0.6061,34,FALSE
"cellular respiration","E1_06_14",0,2,3.7e-24,-1.58496250072116,0.1237,8,FALSE
"cellular component disassembly","E1_06_14",5,7,3.7e-24,-0.415037499278844,0.47,34,FALSE
"nuclear chromosome segregation","E1_06_14",3,4,3.7e-24,-0.321928094887362,0.6498,48,FALSE
"regulation of protein stability","E1_06_14",5,3,3.7e-24,0.584962500721156,0.4243,22,FALSE
"regulation of cell cycle phase transition","E1_06_14",5,5,3.7e-24,0,1,747,FALSE
"regulation of protein catabolic process","E1_06_14",2,5,3.7e-24,-1,0.1551,11,FALSE
"response to endoplasmic reticulum stress","E1_06_14",1,3,3.7e-24,-1,0.2316,11,FALSE
"vesicle organization","E1_06_14",5,4,3.7e-24,0.263034405833794,0.8052,63,FALSE
"mitochondrial respiratory chain complex assembly","E1_06_14",0,1,3.7e-24,-1,0.495,11,FALSE
"DNA-templated transcription elongation","E1_06_14",1,1,3.7e-24,0,1,747,FALSE
"mitochondrial transport","E1_06_14",2,2,3.7e-24,0,1,747,FALSE
"establishment of organelle localization","E1_06_14",5,5,3.7e-24,0,1,747,FALSE
"regulation of intracellular protein transport","E1_06_14",6,3,3.7e-24,0.807354922057604,0.2888,13,FALSE
"response to UV","E1_06_14",4,2,3.7e-24,0.736965594166206,0.2753,16,FALSE
"RNA localization","E1_06_14",0,2,3.7e-24,-1.58496250072116,0.1093,8,FALSE
"response to topologically incorrect protein","E1_06_14",0,2,3.7e-24,-1.58496250072116,0.1616,8,FALSE
"organelle fission","E1_06_14",9,5,3.7e-24,0.736965594166206,0.2008,16,FALSE
"non-membrane-bounded organelle assembly","E1_06_14",6,5,3.7e-24,0.222392421336448,0.8253,81,FALSE
"protein polyubiquitination","E1_06_14",3,3,3.7e-24,0,1,747,FALSE
"methylation","E1_06_14",1,3,3.7e-24,-1,0.1981,11,FALSE
"phospholipid biosynthetic process","E1_06_14",2,3,3.7e-24,-0.415037499278844,0.6029,34,FALSE
"oxidative phosphorylation","E1_06_14",0,1,3.7e-24,-1,0.4233,11,FALSE
"establishment of protein localization to membrane","E1_06_14",4,3,3.7e-24,0.321928094887362,0.7811,48,FALSE
"in utero embryonic development","E1_06_14",6,6,3.7e-24,0,1,747,FALSE
"vacuole organization","E1_06_14",2,2,3.7e-24,0,1,747,FALSE
"nuclear-transcribed mRNA catabolic process","E1_06_14",1,2,3.7e-24,-0.584962500721156,0.5923,22,FALSE
"protein folding","E1_06_14",1,2,3.7e-24,-0.584962500721156,0.5297,22,FALSE
"DNA conformation change","E1_06_14",1,1,3.7e-24,0,1,747,FALSE
"regulation of chromosome segregation","E1_06_14",0,1,3.7e-24,-1,0.4233,11,FALSE
"regulation of apoptotic signaling pathway","E1_06_14",5,5,3.7e-24,0,1,747,FALSE
"cell cycle G2/M phase transition","E1_06_14",2,2,3.7e-24,0,1,747,FALSE
"vacuolar transport","E1_06_14",2,2,3.7e-24,0,1,747,FALSE
"response to ionizing radiation","E1_06_14",4,2,3.7e-24,0.736965594166206,0.2778,16,FALSE
"cellular response to UV","E1_06_14",4,1,3.7e-24,1.32192809488736,0.0325,8,FALSE
"regulation of binding","E1_06_14",7,5,3.7e-24,0.415037499278844,0.5038,34,FALSE
"nucleic acid transport","E1_06_14",0,2,3.7e-24,-1.58496250072116,0.1699,8,FALSE
"RNA transport","E1_06_14",0,2,3.7e-24,-1.58496250072116,0.1699,8,FALSE
"ribonucleoprotein complex subunit organization","E1_06_14",0,2,3.7e-24,-1.58496250072116,0.1108,8,FALSE
"regulation of DNA replication","E1_06_14",5,2,3.7e-24,1,0.1863,11,FALSE
"ribose phosphate metabolic process","E1_06_14",3,5,3.7e-24,-0.584962500721156,0.3251,22,FALSE
"proton motive force-driven ATP synthesis","E1_06_14",0,0,3.7e-24,0,1,747,FALSE
"ribonucleotide metabolic process","E1_06_14",3,5,3.7e-24,-0.584962500721156,0.3316,22,FALSE
"telomere organization","E1_06_14",4,2,3.7e-24,0.736965594166206,0.2767,16,FALSE
"cellular response to topologically incorrect protein","E1_06_14",0,1,3.7e-24,-1,0.4161,11,FALSE
"Golgi organization","E1_06_14",1,1,3.7e-24,0,1,747,FALSE
"ribonucleoprotein complex assembly","E1_06_14",0,2,3.7e-24,-1.58496250072116,0.1284,8,FALSE
"cellular nitrogen compound catabolic process","E1_06_14",4,5,3.7e-24,-0.263034405833794,0.6663,63,FALSE
"negative regulation of phosphorus metabolic process","E1_06_14",5,6,3.7e-24,-0.222392421336448,0.7027,81,FALSE
"heterocycle catabolic process","E1_06_14",4,5,3.7e-24,-0.263034405833794,0.6662,63,FALSE
"mitochondrial membrane organization","E1_06_14",1,1,3.7e-24,0,1,747,FALSE
"regulation of protein-containing complex assembly","E1_06_14",2,5,3.7e-24,-1,0.1239,11,FALSE
"positive regulation of cellular component biogenesis","E1_06_14",4,7,3.7e-24,-0.678071905112638,0.237,20,FALSE
"response to oxidative stress","E1_06_14",4,5,3.7e-24,-0.263034405833794,0.6707,63,FALSE
"regulation of supramolecular fiber organization","E1_06_14",2,5,3.7e-24,-1,0.1136,11,FALSE
"positive regulation of protein localization","E1_06_14",6,6,3.7e-24,0,1,747,FALSE
"positive regulation of cell projection organization","E1_06_14",5,5,3.7e-24,0,1,747,FALSE
"negative regulation of transferase activity","E1_06_14",5,4,3.7e-24,0.263034405833794,0.8056,63,FALSE
"autophagy of mitochondrion","E1_06_14",1,1,3.7e-24,0,1,747,FALSE
"positive regulation of amide metabolic process","E1_06_14",1,2,3.7e-24,-0.584962500721156,0.5448,22,FALSE
"chromatin remodeling","E1_06_14",5,4,3.7e-24,0.263034405833794,0.808,63,FALSE
"viral process","E1_06_14",4,5,3.7e-24,-0.263034405833794,0.6803,63,FALSE
"macromolecule deacylation","E1_06_14",1,1,3.7e-24,0,1,747,FALSE
"mitotic cytokinesis","E1_06_14",1,1,3.7e-24,0,1,747,FALSE
"aromatic compound catabolic process","E1_06_14",4,5,3.7e-24,-0.263034405833794,0.6639,63,FALSE
"vesicle localization","E1_06_14",4,2,3.7e-24,0.736965594166206,0.2985,16,FALSE
"establishment or maintenance of cell polarity","E1_06_14",3,4,3.7e-24,-0.321928094887362,0.6455,48,FALSE
"Wnt signaling pathway","E1_06_14",7,7,3.7e-24,0,1,747,FALSE
"cell-cell signaling by wnt","E1_06_14",7,7,3.7e-24,0,1,747,FALSE
"ATP metabolic process","E1_06_14",1,2,3.7e-24,-0.584962500721156,0.5271,22,FALSE
"cellular response to chemical stress","E1_06_14",2,4,3.7e-24,-0.736965594166206,0.265,16,FALSE
"regulation of vacuole organization","E1_06_14",2,0,3.7e-24,1.58496250072116,0.1292,8,FALSE
"cellular response to external stimulus","E1_06_14",4,4,3.7e-24,0,1,747,FALSE
"negative regulation of protein phosphorylation","E1_06_14",4,5,3.7e-24,-0.263034405833794,0.6819,63,FALSE
"negative regulation of catabolic process","E1_06_14",2,4,3.7e-24,-0.736965594166206,0.2828,16,FALSE
"regulation of microtubule cytoskeleton organization","E1_06_14",0,2,3.7e-24,-1.58496250072116,0.1417,8,FALSE
"chromosome localization","E1_06_14",2,1,3.7e-24,0.584962500721156,0.6385,22,FALSE
"negative regulation of mitotic nuclear division","E1_06_14",0,0,3.7e-24,0,1,747,FALSE
"regulation of actin filament organization","E1_06_14",2,4,3.7e-24,-0.736965594166206,0.2762,16,FALSE
"dephosphorylation","E1_06_14",4,4,3.7e-24,0,1,747,FALSE
"glycosylation","E1_06_14",1,3,3.7e-24,-1,0.259,11,FALSE
"positive regulation of establishment of protein localization","E1_06_14",6,4,3.7e-24,0.485426827170242,0.4529,27,FALSE
"regulation of microtubule-based process","E1_06_14",1,3,3.7e-24,-1,0.2701,11,FALSE
"cell-substrate junction organization","E1_06_14",2,2,3.7e-24,0,1,747,FALSE
"protein-containing complex localization","E1_06_14",2,2,3.7e-24,0,1,747,FALSE
"mitochondrial transmembrane transport","E1_06_14",0,1,3.7e-24,-1,0.4565,11,FALSE
"stem cell population maintenance","E1_06_14",3,3,3.7e-24,0,1,747,FALSE
"ribosome assembly","E1_06_14",0,0,3.7e-24,0,1,747,FALSE
"intraciliary transport","E1_06_14",0,0,3.7e-24,0,1,747,FALSE
"Golgi to plasma membrane protein transport","E1_06_14",1,0,3.7e-24,1,0.4186,11,FALSE
"response to amino acid starvation","E1_06_14",1,0,3.7e-24,1,0.4658,11,FALSE
"cellular response to extracellular stimulus","E1_06_14",4,3,3.7e-24,0.321928094887362,0.7734,48,FALSE
"cell growth","E1_06_14",8,7,3.7e-24,0.169925001442312,0.8519,112,FALSE
"protein glycosylation","E1_06_14",1,2,3.7e-24,-0.584962500721156,0.5394,22,FALSE
"macromolecule glycosylation","E1_06_14",1,2,3.7e-24,-0.584962500721156,0.5394,22,FALSE
"maintenance of cell number","E1_06_14",3,3,3.7e-24,0,1,747,FALSE
"response to reactive oxygen species","E1_06_14",3,3,3.7e-24,0,1,747,FALSE
"regulation of cell morphogenesis","E1_06_14",4,4,3.7e-24,0,1,747,FALSE
"regulation of cellular component size","E1_06_14",2,5,3.7e-24,-1,0.1181,11,FALSE
"cell-substrate junction assembly","E1_06_14",2,2,3.7e-24,0,1,747,FALSE
"membrane fission","E1_06_14",0,0,3.7e-24,0,1,747,FALSE
"membrane docking","E1_06_14",2,1,3.7e-24,0.584962500721156,0.6407,22,FALSE
"fibroblast migration","E1_06_14",1,1,3.7e-24,0,1,747,FALSE
"nucleus organization","E1_06_14",0,2,3.7e-24,-1.58496250072116,0.1507,8,FALSE
"regulation of cell growth","E1_06_14",6,6,3.7e-24,0,1,747,FALSE
"fibroblast proliferation","E1_06_14",1,2,3.7e-24,-0.584962500721156,0.5536,22,FALSE
"cell cycle G1/S phase transition","E1_06_14",5,3,3.7e-24,0.584962500721156,0.4125,22,FALSE
"actin filament organization","E1_06_14",3,7,3.7e-24,-1,0.0966,11,FALSE
"response to oxygen levels","E1_06_14",8,5,3.7e-24,0.584962500721156,0.3863,22,FALSE
"epigenetic regulation of gene expression","E1_06_14",1,2,3.7e-24,-0.584962500721156,0.5321,22,FALSE
"organelle fusion","E1_06_14",1,1,3.7e-24,0,1,747,FALSE
"lipoprotein metabolic process","E1_06_14",1,1,3.7e-24,0,1,747,FALSE
"protein lipidation","E1_06_14",1,1,3.7e-24,0,1,747,FALSE
"regulation of plasma membrane bounded cell projection assembly","E1_06_14",4,3,3.7e-24,0.321928094887362,0.7724,48,FALSE
"regulation of actin filament-based process","E1_06_14",4,6,3.7e-24,-0.485426827170242,0.435,27,FALSE
"regulation of GTPase activity","E1_06_14",7,5,3.7e-24,0.415037499278844,0.5095,34,FALSE
"nuclear envelope organization","E1_06_14",0,1,3.7e-24,-1,0.4546,11,FALSE
"protein autophosphorylation","E1_06_14",3,3,3.7e-24,0,1,747,FALSE
"connective tissue development","E1_06_14",3,4,3.7e-24,-0.321928094887362,0.6364,48,FALSE
"cellular response to heat","E1_06_14",2,1,3.7e-24,0.584962500721156,0.6307,22,FALSE
"myeloid cell homeostasis","E1_06_14",1,2,3.7e-24,-0.584962500721156,0.5324,22,FALSE
"regulation of neuron projection development","E1_06_14",6,6,3.7e-24,0,1,747,FALSE
"receptor metabolic process","E1_06_14",1,1,3.7e-24,0,1,747,FALSE
"maintenance of protein location in cell","E1_06_14",2,1,3.7e-24,0.584962500721156,0.633,22,FALSE
"apoptotic mitochondrial changes","E1_06_14",1,1,3.7e-24,0,1,747,FALSE
"response to transforming growth factor beta","E1_06_14",5,4,3.7e-24,0.263034405833794,0.8184,63,FALSE
"neural tube development","E1_06_14",1,3,3.7e-24,-1,0.2325,11,FALSE
"maintenance of protein location","E1_06_14",3,1,3.7e-24,1,0.4141,11,FALSE
"regulation of ubiquitin-protein transferase activity","E1_06_14",0,0,3.7e-24,0,1,747,FALSE
"cilium assembly","E1_06_14",5,4,3.7e-24,0.263034405833794,0.8046,63,FALSE
