Name,Description,C9a,C9b,C9c,E9a,E9b,E9c
MARCO,na,0.00,0.00,0.00,0.00,0.00,0.00
CYP24A1,na,0.00,0.00,0.00,0.00,0.00,0.00
PRDM11,na,1.24,1.98,2.12,1.56,0.50,2.75
SYT13,na,0.00,0.00,0.00,0.00,0.00,0.00
SNAI2,na,43.20,43.70,47.62,41.09,46.97,43.10
CD74,na,1.05,1.19,0.42,1.09,0.50,1.06
HGF,na,247.41,269.79,233.17,223.97,241.77,318.83
ZRANB1,na,23.20,24.22,21.06,23.95,25.76,25.71
NCDN,na,18.05,16.31,23.03,19.76,16.75,20.60
ADGRA2,na,93.28,87.36,83.81,84.42,77.46,87.25
CCT8L1P,na,0.00,0.00,0.00,0.00,0.00,0.00
ZFP64,na,10.29,9.16,13.52,11.89,13.91,10.68
MNAT1,na,52.55,53.41,74.31,54.66,47.08,78.81
SAMD4A,na,38.54,42.24,25.22,39.57,37.64,31.21
RUNX3,na,2.22,1.64,1.79,1.69,1.68,2.98
MRE11,na,9.78,7.54,10.24,8.84,7.60,15.05
PLEKHB1,na,1.10,0.84,0.29,1.35,0.38,0.28
SERPINB1,na,53.70,71.32,45.19,57.95,64.26,49.37
CYP3A43,na,0.00,0.00,0.00,0.00,0.00,0.00
SLC7A9,na,0.00,0.00,0.00,0.27,0.00,0.00
SPAST,na,6.53,5.46,6.46,5.71,5.68,6.74
NRXN3,na,0.99,1.25,11.66,2.13,1.92,8.77
OSBPL5,na,36.99,53.41,39.36,47.03,44.54,37.11
AQR,na,9.27,9.83,11.91,9.86,11.07,15.86
CPS1,na,4.36,5.12,4.63,4.46,6.31,6.40
C8B,na,0.00,0.00,0.00,0.00,0.00,0.00
FHL1,na,117.80,135.29,68.02,108.62,106.00,84.17
RTF2,na,116.92,138.39,149.92,128.90,146.21,151.20
GABRA1,na,0.00,0.00,0.00,0.00,0.00,0.00
NLRP2,na,0.00,0.00,0.00,0.00,0.00,0.00
SLC45A4,na,2.21,2.45,3.95,2.88,3.55,5.48
RNF10,na,99.92,104.02,109.11,109.51,105.70,108.76
ZNF839,na,6.63,5.24,10.28,5.79,3.87,7.67
ZDHHC6,na,13.64,11.66,16.81,15.62,12.10,22.27
GRAMD1B,na,4.55,5.48,3.09,3.77,5.11,2.38
RNH1,na,191.46,225.09,187.72,201.62,207.08,177.88
NDUFS1,na,50.58,59.98,75.70,49.43,48.11,84.43
RB1CC1,na,53.34,49.98,52.54,46.01,53.60,46.10
ERP44,na,15.51,14.47,18.74,16.66,15.71,21.28
ALAS1,na,35.69,47.85,29.55,34.82,42.95,30.71
BIRC3,na,6.45,7.55,1.37,4.45,5.42,2.14
