Name,Description,C1a,C1b,C1c,C9a,C9b,C9c
SLC7A14,na,0.15,0.24,0.25,0.14,0.14,0.65
CLDN11,na,272.24,287.69,608.27,266.65,390.04,452.96
SLC25A39,na,45.68,55.19,77.16,58.23,58.05,59.62
MVP,na,175.95,204.07,241.83,226.04,271.82,267.13
NUB1,na,33.32,34.95,40.78,36.96,38.77,54.29
PGM3,na,75.69,72.24,75.10,102.81,87.86,82.51
RWDD2A,na,6.99,6.69,4.61,6.85,5.96,8.36
CLK1,na,61.81,26.96,28.77,55.99,42.81,47.73
POLR3B,na,5.78,5.75,8.75,4.74,3.97,8.03
ANGEL1,na,5.90,5.82,6.30,7.68,6.38,7.90
RNF14,na,30.54,30.36,36.57,38.12,37.49,48.07
DNASE1L1,na,39.33,45.33,43.27,80.58,97.59,39.56
DDX11,na,6.49,4.07,11.73,4.47,4.67,5.31
HEBP1,na,75.30,86.51,62.76,106.76,97.69,86.31
GPRC5A,na,74.08,63.84,92.77,140.76,128.44,274.78
MAMLD1,na,14.35,12.66,11.94,9.06,7.26,8.31
CD6,na,0.00,0.00,0.00,0.00,0.00,0.00
TACC3,na,22.17,19.56,45.92,11.92,11.89,21.31
UFL1,na,11.46,9.07,8.56,13.91,13.58,17.96
POLA2,na,11.26,9.72,22.36,9.84,11.73,11.52
ZC3H3,na,6.06,6.59,7.22,8.20,7.52,8.93
CAPN1,na,157.72,138.71,220.13,152.50,138.87,161.57
ACPP,na,1.09,1.13,0.24,7.45,6.38,4.25
MDH1,na,128.15,118.91,162.66,130.86,133.50,123.55
SLC30A9,na,48.53,46.13,44.91,49.10,44.67,46.79
MTMR11,na,20.37,13.43,12.55,15.59,19.23,8.72
COX15,na,12.10,11.90,12.66,11.97,13.84,17.99
CCDC88C,na,0.00,0.02,0.05,0.01,0.00,0.01
YAF2,na,15.60,12.94,12.56,12.56,11.28,16.64
ZMYND11,na,45.66,42.52,49.32,41.23,45.85,51.37
WAS,na,0.43,0.11,0.00,0.00,0.04,0.00
DPEP1,na,1.98,1.44,0.00,0.13,1.02,0.00
BID,na,75.16,84.63,76.08,96.85,82.97,73.20
MATR3,na,191.54,133.14,184.87,139.69,134.00,223.10
NPC1L1,na,0.29,0.12,0.00,0.03,0.06,0.22
XYLT2,na,29.55,38.05,37.28,47.34,47.78,45.22
RGPD5,na,0.00,0.00,0.00,0.00,0.00,0.00
STMN4,na,0.00,0.00,0.08,0.00,0.00,0.10
NUDCD3,na,42.97,31.40,52.60,44.17,35.99,44.53
ISL1,na,0.00,0.00,0.00,0.00,0.00,0.00
CHDH,na,0.03,0.02,0.04,0.00,0.00,0.00
IL20RA,na,0.00,0.00,0.00,0.00,0.00,0.00
CLCA1,na,0.00,0.00,0.00,0.00,0.00,0.00
CLCA4,na,0.00,0.00,0.00,0.00,0.00,0.00
GLT8D1,na,131.59,119.65,90.74,128.24,132.43,126.00
ATP2C1,na,85.02,79.32,62.90,86.60,85.62,82.00
,na,0.01,0.04,0.00,0.00,0.00,0.00
IGF1,na,0.08,0.00,0.08,0.00,0.00,0.13
SLC38A5,na,73.29,59.66,39.57,27.30,33.40,18.67
,na,0.92,0.45,0.87,1.96,0.69,0.46
RALBP1,na,57.43,49.21,52.85,59.27,64.84,52.75
RUFY3,na,16.46,13.13,13.82,16.96,17.16,26.09
CNTN1,na,1.55,0.94,0.68,0.12,0.48,0.21
SLC11A1,na,0.25,0.02,0.02,0.07,0.06,0.06
WWTR1,na,65.14,46.08,42.45,42.57,30.93,34.02
AGPS,na,9.53,6.06,16.27,7.85,10.75,18.12
ZNF806,na,0.00,0.00,0.00,0.00,0.00,0.00
CXorf56,na,11.82,11.10,11.12,10.48,11.48,15.59
ATP1A2,na,0.32,0.33,0.44,0.62,0.91,0.27
TTC27,na,15.11,9.19,15.12,8.30,14.58,13.00
ZNF582,na,0.87,1.59,0.81,1.98,1.27,2.73
VSIG2,na,0.00,0.00,0.00,0.00,0.00,0.00
PHLDB1,na,68.13,68.00,86.19,60.21,57.20,103.01
MARCO,na,0.00,0.00,0.00,0.00,0.00,0.00
CYP24A1,na,0.00,0.00,0.00,0.00,0.00,0.00
PRDM11,na,2.34,1.73,1.54,1.24,1.98,2.12
SYT13,na,0.00,0.00,0.00,0.00,0.00,0.00
SNAI2,na,50.43,34.60,56.01,43.20,43.70,47.62
CD74,na,3.13,7.18,3.37,1.05,1.19,0.42
HGF,na,390.97,372.58,80.22,247.41,269.79,233.17
ZRANB1,na,21.37,19.25,13.10,23.20,24.22,21.06
NCDN,na,21.02,16.97,20.39,18.05,16.31,23.03
ADGRA2,na,58.85,76.30,93.85,93.28,87.36,83.81
CCT8L1P,na,0.00,0.00,0.00,0.00,0.00,0.00
ZFP64,na,12.75,13.19,15.44,10.29,9.16,13.52
MNAT1,na,54.33,46.91,56.50,52.55,53.41,74.31
SAMD4A,na,23.10,25.31,34.42,38.54,42.24,25.22
RUNX3,na,2.79,1.23,1.65,2.22,1.64,1.79
MRE11,na,12.36,6.54,13.88,9.78,7.54,10.24
PLEKHB1,na,1.00,0.52,0.09,1.10,0.84,0.29
SERPINB1,na,59.26,52.36,38.11,53.70,71.32,45.19
CYP3A43,na,0.00,0.00,0.00,0.00,0.00,0.00
SLC7A9,na,0.00,0.21,0.00,0.00,0.00,0.00
SPAST,na,6.25,5.30,5.47,6.53,5.46,6.46
NRXN3,na,1.60,0.94,8.82,0.99,1.25,11.66
OSBPL5,na,67.21,45.39,60.24,36.99,53.41,39.36
AQR,na,13.95,9.00,14.17,9.27,9.83,11.91
CPS1,na,5.59,3.55,6.48,4.36,5.12,4.63
C8B,na,0.00,0.00,0.00,0.00,0.00,0.00
FHL1,na,210.63,178.71,77.80,117.80,135.29,68.02
RTF2,na,131.69,128.99,138.74,116.92,138.39,149.92
GABRA1,na,0.00,0.00,0.00,0.00,0.00,0.00
NLRP2,na,0.00,0.00,0.07,0.00,0.00,0.00
SLC45A4,na,4.54,2.80,2.52,2.21,2.45,3.95
RNF10,na,128.01,91.14,112.64,99.92,104.02,109.11
ZNF839,na,4.22,5.27,5.61,6.63,5.24,10.28
ZDHHC6,na,17.54,16.13,21.18,13.64,11.66,16.81
GRAMD1B,na,2.06,2.31,5.20,4.55,5.48,3.09
RNH1,na,184.08,222.99,250.29,191.46,225.09,187.72
NDUFS1,na,53.95,46.15,66.00,50.58,59.98,75.70
RB1CC1,na,50.70,48.90,33.01,53.34,49.98,52.54
ERP44,na,11.51,10.55,8.36,15.51,14.47,18.74
ALAS1,na,41.85,36.16,34.03,35.69,47.85,29.55
BIRC3,na,2.16,3.29,4.86,6.45,7.55,1.37
