"region","control","enu","group_diff","group","p_value","significant_p_adjusted","significant_p_adjusted_both_groups","GO.ID","p_value.adjust"
"negative regulation of phosphorus metabolic process",-0.0103454893768316,-0.0272347219818369,-0.0168892326050053,"downsampled",0.967293421153732,NA,NA,"GO:0010563",1
"negative regulation of transferase activity",0.0649958334134618,0.398329166746796,0.333333333333334,"downsampled",0.416847160788777,NA,NA,"GO:0051348",0.751908759411973
"neural tube formation",0.434098955067613,0.574436111271369,0.140337156203756,"downsampled",0.715184942944253,NA,NA,"GO:0001841",0.869017175954904
"neuron apoptotic process",0.111111111111111,0.907769444604702,0.796658333493591,"downsampled",0.0585984976368416,NA,NA,"GO:0051402",0.668597242556415
"neuron death",-0.601670833253205,0.230757288561204,0.832428121814409,"downsampled",0.0698179101345706,NA,NA,"GO:0070997",0.668597242556415
"neuron projection extension",0.620551388969018,0.398329166746796,-0.222222222222222,"downsampled",0.45739907528262,NA,NA,"GO:1990138",0.753692318447817
"neuron projection organization",0.111111111111111,0,-0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0106027",0.668597242556415
"neurotransmitter secretion",0.287218055635684,0.111111111111111,-0.176106944524573,"downsampled",0.449025703095065,NA,NA,"GO:0007269",0.751908759411973
"neurotrophin signaling pathway",0,0,0,"downsampled",NA,NA,NA,"GO:0038179",NA
"non-membrane-bounded organelle assembly",-0.555555555555556,-0.15722638880876,0.398329166746795,"downsampled",0.259042867218382,NA,NA,"GO:0140694",0.668597242556415
"nuclear chromosome segregation",0.0649958334134622,0.222222222222222,0.15722638880876,"downsampled",0.663273478135008,NA,NA,"GO:0098813",0.837545333174403
"nuclear envelope organization",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0006998",0.668597242556415
"nuclear migration",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0007097",0.668597242556415
"nuclear transport",0.222222222222222,0.574436111271369,0.352213889049147,"downsampled",0.460393266217004,NA,NA,"GO:0051169",0.753692318447817
"nuclear-transcribed mRNA catabolic process",0.222222222222222,0,-0.222222222222222,"downsampled",0.16902020301917,NA,NA,"GO:0000956",0.668597242556415
"nucleic acid transport",0.111111111111111,0.509440277857907,0.398329166746796,"downsampled",0.119184702428625,NA,NA,"GO:0050657",0.668597242556415
"nucleocytoplasmic transport",0.222222222222222,0.574436111271369,0.352213889049147,"downsampled",0.460393266217004,NA,NA,"GO:0006913",0.753692318447817
"nucleosome assembly",0,0.222222222222222,0.222222222222222,"downsampled",0.16902020301917,NA,NA,"GO:0006334",0.668597242556415
"nucleosome organization",0,0.222222222222222,0.222222222222222,"downsampled",0.16902020301917,NA,NA,"GO:0034728",0.668597242556415
"nucleotide catabolic process",0,0,0,"downsampled",NA,NA,NA,"GO:0009166",NA
"nucleus organization",0.111111111111111,0.111111111111111,0,"downsampled",1,NA,NA,"GO:0006997",1
"oligosaccharide-lipid intermediate biosynthetic process",0,0,0,"downsampled",NA,NA,NA,"GO:0006490",NA
