"region","condition.x","average_log2fc","group","condition.y","pvalue","pvalue_symbol","GO.ID","pvalue.adjust","average_log2fc_shuffle_norm"
"organophosphate catabolic process","enu",-0.276456849154681,"observed","enu",0.15528834786917,NA,"GO:0046434",0.406302389630293,0.0954931942486726
"ossification","enu",-0.343614561460064,"observed","enu",0.0212628607291056,"*","GO:0001503",0.12123004176893,0.223270699257545
"osteoblast differentiation","enu",-0.331182209787218,"observed","enu",0.423516340887092,NA,"GO:0001649",0.719036632083863,-0.00642498256713608
"oxidative phosphorylation","enu",-0.17253244399095,"observed","enu",0.745736586036304,NA,"GO:0006119",0.999548687248661,0.231740225891368
"pentose-phosphate shunt","enu",0.034586458273237,"observed","enu",0.982716702967736,NA,"GO:0006098",0.999999999996455,-0.0814399936249923
"peptidyl-lysine modification","enu",-0.394684865821411,"observed","enu",0.0464006590439004,"*","GO:0018205",0.2012942305342,0.126892824565405
"peroxisome organization","enu",0.298746875060096,"observed","enu",0.996738340064842,NA,"GO:0007031",0.999999999996455,0.908907549634043
"phospholipid biosynthetic process","enu",-0.283570674189244,"observed","enu",0,"****","GO:0008654",0,0.236651266938199
"pigmentation","enu",-0.4040394924486,"observed","enu",0.10069519363264,NA,"GO:0043473",0.307397944656857,-0.329793738136975
"placenta development","enu",-0.376937816338378,"observed","enu",0.372836256488548,NA,"GO:0001890",0.671808726314271,0.253592061386064
"plasma membrane tubulation","enu",0.624321091360806,"observed","enu",0.863847773534916,NA,"GO:0097320",0.999999999996455,0.341627972795909
"platelet dense granule organization","enu",-0.0487468750600963,"observed","enu",0.941823120495531,NA,"GO:0060155",0.999999999996455,0.0565059920927202
"platelet-derived growth factor receptor signaling pathway","enu",-0.307577036952626,"observed","enu",0.228716277007929,NA,"GO:0048008",0.517927569314465,0.0979161975933925
"pore complex assembly","enu",0.166666666666667,"observed","enu",0.999959253113063,NA,"GO:0046931",0.999999999996455,0.312907291846955
