"","condition","cycle","region","log2fc.mean.x","log2fc.sd","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.sum","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met","jitter_alpha","log2fc.mean.y","log2fc.norm","log2fc.norm.sd"
"58","control","1","chromosome localization",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.999385825810986,1,NA,"GO:0050000",163,"FALSE",0.6,-0.20334166650641,0.314452777617521,0.320610000578514
"59","control","1","chromosome segregation",-0.268337499919872,0.112576085752399,2.33333333333333,0.777777777777778,0.192450089729875,0.247435829652697,3,1,0.997616408847218,1,NA,"GO:0007059",63,"FALSE",0.6,-0.0604355390074949,-0.207901960912377,0.320610000578514
"60","control","1","cilium assembly",0.0649958334134618,0.434488572471019,2.66666666666667,0.888888888888889,0.192450089729875,0.21650635094611,2.33333333333333,0.777777777777778,0.999408408557687,1,NA,"GO:0060271",265,"FALSE",0.6,-0.224330955253259,0.289326788666721,0.320610000578514
"61","control","1","cilium organization",0.129991666826924,0.464774183437227,3.33333333333333,1.11111111111111,0.192450089729875,0.173205080756888,2.33333333333333,0.777777777777778,0.822893100882376,1,NA,"GO:0044782",156,"FALSE",0.6,-0.575893284619505,0.705884951446428,0.320610000578514
"62","control","1","circadian regulation of gene expression",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0032922",747,"FALSE",0.6,0.0803675926460116,-0.0803675926460116,0.320610000578514
"63","control","1","clathrin-dependent endocytosis",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.977486074227574,1,NA,"GO:0072583",163,"FALSE",0.6,0.222222222222222,-0.111111111111111,0.320610000578514
"64","control","1","collagen fibril organization",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.995999212119145,1,NA,"GO:0030199",163,"FALSE",0.6,0.42628796312322,-0.315176852012109,0.320610000578514
"65","control","1","connective tissue development",0.463325000160257,0.851736649116174,2.66666666666667,0.888888888888889,0.384900179459751,0.433012701892219,1,0.333333333333333,0.760619798921567,1,NA,"GO:0061448",28,"FALSE",0.6,-0.342281949386347,0.805606949546605,0.320610000578514
"66","control","1","COPII vesicle coating",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0048208",747,"FALSE",0.6,0.354998611137821,-0.354998611137821,0.320610000578514
"67","control","1","cortical cytoskeleton organization",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.992804784701561,1,NA,"GO:0030865",163,"FALSE",0.6,0.191478703757123,-0.0803675926460119,0.320610000578514
"68","control","1","cytoplasmic translation",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.99987633713,1,NA,"GO:0002181",163,"FALSE",0.6,0.155959140092541,-0.0448480289814302,0.320610000578514
"69","control","1","defense response to virus",-0.111111111111111,0.693888666488711,1.33333333333333,0.444444444444444,0.192450089729875,0.433012701892219,1.66666666666667,0.555555555555556,0.986617010938879,1,NA,"GO:0051607",163,"FALSE",0.6,-0.258643570225941,0.14753245911483,0.320610000578514
"70","control","1","dephosphorylation",0,0.577350269189626,2,0.666666666666667,0,0,2,0.666666666666667,0.995754841019439,1,NA,"GO:0016311",747,"FALSE",0.6,-0.355602085483771,0.355602085483771,0.320610000578514
"71","control","1","developmental growth involved in morphogenesis",0.287218055635684,0.267162291360244,1,0.333333333333333,0.333333333333333,1,0,0,0.922323056133838,1,NA,"GO:0060560",57,"FALSE",0.6,-0.333997107703603,0.621215163339288,0.320610000578514
"72","control","1","dicarboxylic acid metabolic process",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.998162960813896,1,NA,"GO:0043648",163,"FALSE",0.6,-0.0859370368233612,0.197048147934472,0.320610000578514
"73","control","1","DNA conformation change",0.222222222222222,0.384900179459751,0.666666666666667,0.222222222222222,0.384900179459751,1.73205080756888,0,0,0.941413356860985,1,NA,"GO:0071103",81,"FALSE",0.6,-0.0558572927285307,0.278079514950753,0.320610000578514
"74","control","1","DNA replication",-0.0461152776976489,0.598826974643378,2,0.666666666666667,0.333333333333333,0.5,2,0.666666666666667,0.972163992295103,1,NA,"GO:0006260",347,"FALSE",0.6,-0.263975004434422,0.217859726736773,0.320610000578514
"75","control","1","DNA-templated transcription elongation",0.222222222222222,0.384900179459751,0.666666666666667,0.222222222222222,0.384900179459751,1.73205080756888,0,0,0.989877401500129,1,NA,"GO:0006354",81,"FALSE",0.6,-0.252965740687322,0.475187962909544,0.320610000578514
"76","control","1","double-strand break repair",0.230757288561204,0.669539302590963,3.66666666666667,1.22222222222222,0.693888666488711,0.567727090763491,2,0.666666666666667,0.291643065779486,1,NA,"GO:0006302",74,"FALSE",0.6,-0.447892940903389,0.678650229464592,0.320610000578514
"77","control","1","embryonic body morphogenesis",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.931501264055797,1,NA,"GO:0010172",163,"FALSE",0.6,0.132776388915599,-0.0216652778044874,0.320610000578514
"78","control","1","embryonic organ development",-0.20334166650641,0.225152171504797,2.66666666666667,0.888888888888889,0.384900179459751,0.433012701892219,3,1,0.994268308629884,1,NA,"GO:0048568",85,"FALSE",0.6,-0.276989976179083,0.0736483096726728,0.320610000578514
"79","control","1","epigenetic regulation of gene expression",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.999366973519853,1,NA,"GO:0040029",81,"FALSE",0.6,-0.372361693481178,0.5945839157034,0.320610000578514
"80","control","1","erythrocyte differentiation",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.999427408191644,1,NA,"GO:0030218",163,"FALSE",0.6,-0.151596644607092,0.262707755718203,0.320610000578514
"81","control","1","establishment of mitotic spindle localization",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.920104544216637,1,NA,"GO:0040001",81,"FALSE",0.6,0.0587023148415244,0.163519907380698,0.320610000578514
"82","control","1","establishment of organelle localization",-0.490559722142094,0.305026175482274,1.66666666666667,0.555555555555556,0.384900179459751,0.692820323027551,3,1,0.973479222838029,1,NA,"GO:0051656",27,"FALSE",0.6,-0.249579714452081,-0.240980007690012,0.320610000578514
"83","control","1","establishment of protein localization to membrane",0.0357697883208178,0.942828497665286,2.66666666666667,0.888888888888889,0.693888666488711,0.7806247497998,2,0.666666666666667,0.331735385838431,1,NA,"GO:0090150",385,"FALSE",0.6,-0.270992597400948,0.306762385721766,0.320610000578514
"84","control","1","establishment of protein localization to organelle",-0.425563888728632,0.725675917774221,2,0.666666666666667,0.881917103688197,1.3228756555323,3,1,0.94416182346293,1,NA,"GO:0072594",33,"FALSE",0.6,-0.447113926812274,0.0215500380836416,0.320610000578514
"85","control","1","establishment or maintenance of cell polarity",0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0,0,0.984456736159317,1,NA,"GO:0007163",47,"FALSE",0.6,-0.308029634437986,0.641362967771319,0.320610000578514
"86","control","1","establishment or maintenance of epithelial cell apical/basal polarity",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.967886594303923,1,NA,"GO:0045197",163,"FALSE",0.6,0.287218055635684,-0.176106944524573,0.320610000578514
"87","control","1","ether lipid biosynthetic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0008611",747,"FALSE",0.6,0.0740740740740741,-0.0740740740740741,0.320610000578514
"88","control","1","exit from host cell",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0035891",747,"FALSE",0.6,0.206850462989673,-0.206850462989673,0.320610000578514
"89","control","1","exosomal secretion",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1990182",747,"FALSE",0.6,0.148148148148148,-0.148148148148148,0.320610000578514
"90","control","1","extracellular matrix assembly",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0085029",747,"FALSE",0.6,0.296296296296296,-0.296296296296296,0.320610000578514
"91","control","1","extracellular vesicle biogenesis",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0140112",747,"FALSE",0.6,0.354998611137821,-0.354998611137821,0.320610000578514
"92","control","1","face development",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0060324",747,"FALSE",0.6,0.0216652778044874,-0.0216652778044874,0.320610000578514
