"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"morphogenesis of a branching structure2","morphogenesis of a branching structure","C3_05_24",2,1,0.584962500721156,0.727,1,8.58769393437402e-35
"ruffle assembly2","ruffle assembly","C3_05_24",0,0,0,1,1,4.82725881477022e-49
"roof of mouth development2","roof of mouth development","C3_05_24",0,0,0,1,1,4.35871055072574e-43
"Schwann cell differentiation2","Schwann cell differentiation","C3_05_24",0,0,0,1,1,3.11907563621436e-50
"regulation of cellular response to oxidative stress2","regulation of cellular response to oxidative stress","C3_05_24",1,0,1,0.194,1,6.84440410773835e-47
"regulation of oxidative stress-induced cell death2","regulation of oxidative stress-induced cell death","C3_05_24",1,0,1,0.166,1,4.42860129520361e-48
"glycogen metabolic process2","glycogen metabolic process","C3_05_24",0,0,0,1,1,1.17087217867302e-47
"organelle inheritance2","organelle inheritance","C3_05_24",0,0,0,1,1,5.19495216690235e-53
"Golgi localization2","Golgi localization","C3_05_24",0,0,0,1,1,5.19495216690235e-53
"mammary gland epithelial cell proliferation2","mammary gland epithelial cell proliferation","C3_05_24",0,0,0,1,1,6.36465017072774e-50
"dicarboxylic acid metabolic process2","dicarboxylic acid metabolic process","C3_05_24",0,0,0,1,1,1.74367043225834e-48
"regulation of defense response to virus2","regulation of defense response to virus","C3_05_24",0,0,0,1,1,3.73662766051005e-45
"positive regulation of cartilage development2","positive regulation of cartilage development","C3_05_24",0,0,0,1,1,9.84843976552742e-48
"neurotrophin signaling pathway2","neurotrophin signaling pathway","C3_05_24",0,0,0,1,1,4.28797812868911e-48
"ceramide biosynthetic process2","ceramide biosynthetic process","C3_05_24",0,0,0,1,1,1.89347560373863e-47
"plasma membrane tubulation2","plasma membrane tubulation","C3_05_24",0,0,0,1,1,7.51967930252052e-52
"membrane protein proteolysis2","membrane protein proteolysis","C3_05_24",0,0,0,1,1,2.64700665844917e-47
"regulation of ATP metabolic process2","regulation of ATP metabolic process","C3_05_24",0,0,0,1,1,2.99040527725616e-47
"regulation of carbohydrate metabolic process2","regulation of carbohydrate metabolic process","C3_05_24",0,0,0,1,1,1.45211928480279e-37
"positive regulation of kinase activity2","positive regulation of kinase activity","C3_05_24",3,1,1,0.517,1,2.459038655877e-27
"biological process involved in interaction with host2","biological process involved in interaction with host","C3_05_24",0,0,0,1,1,2.8394587376169e-38
"cellular response to ketone2","cellular response to ketone","C3_05_24",0,0,0,1,1,8.29189687377522e-44
"cell redox homeostasis2","cell redox homeostasis","C3_05_24",0,0,0,1,1,1.67066722483284e-51
"melanosome localization2","melanosome localization","C3_05_24",1,0,1,0.059,1,6.78489483430802e-52
"fibroblast apoptotic process2","fibroblast apoptotic process","C3_05_24",0,0,0,1,1,5.15134994083216e-51
"antigen processing and presentation of peptide antigen via MHC class I2","antigen processing and presentation of peptide antigen via MHC class I","C3_05_24",0,0,0,1,1,2.02523919227726e-51
"ubiquitin recycling2","ubiquitin recycling","C3_05_24",0,0,0,1,1,1.16454241318018e-52
"adherens junction assembly2","adherens junction assembly","C3_05_24",0,0,0,1,1,4.0027706807514e-52
"regulation of sulfur metabolic process2","regulation of sulfur metabolic process","C3_05_24",0,0,0,1,1,5.45387599088821e-53
"UV-damage excision repair2","UV-damage excision repair","C3_05_24",0,0,0,1,1,5.19495216690235e-53
"mitochondrion localization2","mitochondrion localization","C3_05_24",0,0,0,1,1,3.41133936621079e-48
"execution phase of apoptosis2","execution phase of apoptosis","C3_05_24",0,0,0,1,1,1.21173917541516e-45
"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process2","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process","C3_05_24",1,0,1,0.189,1,1.64504323374818e-46
"pentose-phosphate shunt2","pentose-phosphate shunt","C3_05_24",0,0,0,1,1,1.16454241318018e-52
"hepatocyte apoptotic process2","hepatocyte apoptotic process","C3_05_24",0,0,0,1,1,1.18361697839053e-51
"lysosomal protein catabolic process2","lysosomal protein catabolic process","C3_05_24",0,0,0,1,1,1.26579386798918e-52
"pyruvate metabolic process2","pyruvate metabolic process","C3_05_24",0,0,0,1,1,9.97139840995749e-44
"substantia nigra development2","substantia nigra development","C3_05_24",0,0,0,1,1,8.7159263036806e-50
"response to amino acid2","response to amino acid","C3_05_24",0,0,0,1,1,9.27127554877543e-41
"movement in host2","movement in host","C3_05_24",0,0,0,1,1,2.76327585360524e-39
"carbohydrate derivative catabolic process2","carbohydrate derivative catabolic process","C3_05_24",0,0,0,1,1,1.32445071347145e-44
"small molecule catabolic process2","small molecule catabolic process","C3_05_24",0,1,-1,0.546,1,1.00454956940427e-34
