"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"Natural killer cell mediated cytotoxicity5","Natural killer cell mediated cytotoxicity","E1_08_16",1,1,0,1,1,8.81337536073183e-29
"Tyrosine metabolism5","Tyrosine metabolism","E1_08_16",0,0,0,1,1,1.52647387918024e-42
"Allograft rejection5","Allograft rejection","E1_08_16",0,0,0,1,1,1.72354849743797e-43
"Phototransduction5","Phototransduction","E1_08_16",0,0,0,1,1,3.55200570637932e-45
"Primary immunodeficiency5","Primary immunodeficiency","E1_08_16",0,0,0,1,1,7.26697633337583e-46
"Linoleic acid metabolism5","Linoleic acid metabolism","E1_08_16",0,0,0,1,1,6.10831427517768e-46
"Pentose and glucuronate interconversions5","Pentose and glucuronate interconversions","E1_08_16",0,0,0,1,1,6.12771806481254e-43
"Graft-versus-host disease5","Graft-versus-host disease","E1_08_16",0,0,0,1,1,2.44328823371806e-45
"Intestinal immune network for IgA production5","Intestinal immune network for IgA production","E1_08_16",0,0,0,1,1,1.0780720311519e-37
"Pancreatic secretion5","Pancreatic secretion","E1_08_16",2,1,0.584962500721156,0.675,1,1.51951819224368e-32
"Complement and coagulation cascades5","Complement and coagulation cascades","E1_08_16",1,1,0,1,1,8.05318966889783e-33
"Fat digestion and absorption5","Fat digestion and absorption","E1_08_16",2,0,1.58496250072116,0.116,1,1.86662892285951e-41
"Ascorbate and aldarate metabolism5","Ascorbate and aldarate metabolism","E1_08_16",0,0,0,1,1,6.72004304910428e-51
"MicroRNAs in cancer5","MicroRNAs in cancer","E1_08_16",1,3,-1,0.262,1,1.58384352756627e-18
"Asthma5","Asthma","E1_08_16",1,0,1,0.244,1,1.72354849743797e-43
"Maturity onset diabetes of the young5","Maturity onset diabetes of the young","E1_08_16",0,0,0,1,1,2.61973204411284e-51
"Chemical carcinogenesis - DNA adducts5","Chemical carcinogenesis - DNA adducts","E1_08_16",0,0,0,1,1,1.06301397259676e-40
"Bile secretion5","Bile secretion","E1_08_16",0,1,-1,0.583,1,4.4687418191593e-36
"Metabolism of xenobiotics by cytochrome P4505","Metabolism of xenobiotics by cytochrome P450","E1_08_16",0,0,0,1,1,1.00601992576957e-39
"Nicotine addiction5","Nicotine addiction","E1_08_16",1,0,1,0.158,1,9.90527059296147e-47
"Hematopoietic cell lineage5","Hematopoietic cell lineage","E1_08_16",0,0,0,1,1,7.03243693316745e-36
"Taste transduction5","Taste transduction","E1_08_16",0,0,0,1,1,1.74787302807827e-37
"Drug metabolism - cytochrome P4505","Drug metabolism - cytochrome P450","E1_08_16",0,0,0,1,1,7.41305797144066e-43
"Autoimmune thyroid disease5","Autoimmune thyroid disease","E1_08_16",2,0,1.58496250072116,0.089,1,5.71534022708386e-43
"Steroid hormone biosynthesis5","Steroid hormone biosynthesis","E1_08_16",1,0,1,0.24,1,3.29269594772784e-44
"Retinol metabolism5","Retinol metabolism","E1_08_16",1,0,1,0.266,1,4.80998031760791e-43
"Viral protein interaction with cytokine and cytokine receptor5","Viral protein interaction with cytokine and cytokine receptor","E1_08_16",0,0,0,1,1,2.11082504470272e-41
"Staphylococcus aureus infection5","Staphylococcus aureus infection","E1_08_16",0,0,0,1,1,4.71554876868654e-39
"Cytokine-cytokine receptor interaction5","Cytokine-cytokine receptor interaction","E1_08_16",1,2,-0.584962500721156,0.367,1,6.73046171089111e-24
"Neuroactive ligand-receptor interaction5","Neuroactive ligand-receptor interaction","E1_08_16",4,3,0.321928094887362,0.687,1,5.050447632832e-20
"Olfactory transduction5","Olfactory transduction","E1_08_16",2,0,1.58496250072116,0.097,1,9.83650972977054e-41
"Herpes simplex virus 1 infection6","Herpes simplex virus 1 infection","E3_06_14",27,25,0.106915203916512,0.8,1,3.15473827971538e-05
"Cell cycle6","Cell cycle","E3_06_14",8,8,0,1,1,6.50826537481209e-12
"Endocytosis6","Endocytosis","E3_06_14",18,13,0.440572591385981,0.363,0.93225,8.12780941788455e-10
"Ribosome6","Ribosome","E3_06_14",9,7,0.321928094887362,0.535,0.93225,1.10664954063512e-10
"Autophagy - animal6","Autophagy - animal","E3_06_14",10,9,0.137503523749935,0.776,1,7.73000570985482e-13
