"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"GnRH signaling pathway","GnRH signaling pathway","C1_05_24",0,0,0,1,1,9.70819517938011e-43
"Coronavirus disease - COVID-19","Coronavirus disease - COVID-19","C1_05_24",0,0,0,1,1,1.5379565147854e-38
"Mannose type O-glycan biosynthesis","Mannose type O-glycan biosynthesis","C1_05_24",0,0,0,1,1,1.4212543359862e-52
"Terpenoid backbone biosynthesis","Terpenoid backbone biosynthesis","C1_05_24",0,0,0,1,1,2.42122039742104e-53
"Cysteine and methionine metabolism","Cysteine and methionine metabolism","C1_05_24",0,0,0,1,1,1.49021871160976e-49
"Circadian rhythm","Circadian rhythm","C1_05_24",0,0,0,1,1,5.22984421823479e-50
"Fatty acid elongation","Fatty acid elongation","C1_05_24",0,0,0,1,1,1.4565026283805e-52
"Biosynthesis of unsaturated fatty acids","Biosynthesis of unsaturated fatty acids","C1_05_24",0,0,0,1,1,4.03241509037695e-51
"Inflammatory mediator regulation of TRP channels","Inflammatory mediator regulation of TRP channels","C1_05_24",0,0,0,1,1,2.40499722998048e-41
"Parathyroid hormone synthesis, secretion and action","Parathyroid hormone synthesis, secretion and action","C1_05_24",0,0,0,1,1,7.26491903832809e-40
"Sulfur metabolism","Sulfur metabolism","C1_05_24",0,0,0,1,1,2.45351631267141e-53
"Vibrio cholerae infection","Vibrio cholerae infection","C1_05_24",0,0,0,1,1,2.01766674285039e-48
"Signaling pathways regulating pluripotency of stem cells","Signaling pathways regulating pluripotency of stem cells","C1_05_24",2,0,1.58496250072116,0.182,1,5.37332569156316e-38
"HIF-1 signaling pathway","HIF-1 signaling pathway","C1_05_24",0,0,0,1,1,1.2145510880865e-41
"Purine metabolism","Purine metabolism","C1_05_24",0,0,0,1,1,7.85725638544104e-44
"Fatty acid degradation","Fatty acid degradation","C1_05_24",1,0,1,0.081,1,5.54744494012742e-51
"Glutathione metabolism","Glutathione metabolism","C1_05_24",0,0,0,1,1,1.67368092068679e-50
"Transcriptional misregulation in cancer","Transcriptional misregulation in cancer","C1_05_24",0,1,-1,0.568,1,9.8980960908342e-36
"2-Oxocarboxylic acid metabolism","2-Oxocarboxylic acid metabolism","C1_05_24",0,0,0,1,1,2.16204703580892e-52
"Adrenergic signaling in cardiomyocytes","Adrenergic signaling in cardiomyocytes","C1_05_24",0,0,0,1,1,2.83107809394708e-39
"Gastric cancer","Gastric cancer","C1_05_24",2,0,1.58496250072116,0.174,1,1.03613534026375e-38
"Long-term potentiation","Long-term potentiation","C1_05_24",0,0,0,1,1,3.30175924332431e-47
"Motor proteins","Motor proteins","C1_05_24",0,0,0,1,1,1.13643499818304e-36
"Biosynthesis of amino acids","Biosynthesis of amino acids","C1_05_24",0,0,0,1,1,1.41128380206527e-47
"Other glycan degradation","Other glycan degradation","C1_05_24",0,0,0,1,1,1.72824505860827e-53
"Non-homologous end-joining","Non-homologous end-joining","C1_05_24",0,0,0,1,1,4.80767927908853e-53
"Glycerophospholipid metabolism","Glycerophospholipid metabolism","C1_05_24",0,0,0,1,1,7.26002411622306e-46
"C-type lectin receptor signaling pathway","C-type lectin receptor signaling pathway","C1_05_24",0,0,0,1,1,1.07642043606837e-43
"Lipid and atherosclerosis","Lipid and atherosclerosis","C1_05_24",0,0,0,1,1,1.63490379537748e-38
"Hepatitis C","Hepatitis C","C1_05_24",0,0,0,1,1,7.67087941094272e-41
"PI3K-Akt signaling pathway","PI3K-Akt signaling pathway","C1_05_24",3,1,1,0.539,1,3.96799156698923e-27
"Long-term depression","Long-term depression","C1_05_24",0,0,0,1,1,1.30213824509347e-48
"Arrhythmogenic right ventricular cardiomyopathy","Arrhythmogenic right ventricular cardiomyopathy","C1_05_24",0,0,0,1,1,2.12453760072849e-41
"Necroptosis","Necroptosis","C1_05_24",0,0,0,1,1,4.48845115907766e-44
"Retrograde endocannabinoid signaling","Retrograde endocannabinoid signaling","C1_05_24",2,0,1.58496250072116,0.078,1,1.25751484002709e-42
"Pantothenate and CoA biosynthesis","Pantothenate and CoA biosynthesis","C1_05_24",0,0,0,1,1,1.72824505860827e-53
"Cushing syndrome","Cushing syndrome","C1_05_24",0,0,0,1,1,3.29640393860525e-37
"Fructose and mannose metabolism","Fructose and mannose metabolism","C1_05_24",0,0,0,1,1,9.58639713842501e-50
"Platelet activation","Platelet activation","C1_05_24",0,0,0,1,1,8.88776941678584e-40
"Efferocytosis","Efferocytosis","C1_05_24",0,0,0,1,1,6.17199177860662e-38
"Antifolate resistance","Antifolate resistance","C1_05_24",0,0,0,1,1,2.20377381058245e-49
"Alcoholism","Alcoholism","C1_05_24",0,0,0,1,1,1.66399319258156e-41
"Melanogenesis","Melanogenesis","C1_05_24",0,0,0,1,1,1.91021754505588e-42
"Prolactin signaling pathway","Prolactin signaling pathway","C1_05_24",0,0,0,1,1,2.2254437295889e-47
"Glycerolipid metabolism","Glycerolipid metabolism","C1_05_24",0,0,0,1,1,3.76574981127819e-47
"Dopaminergic synapse","Dopaminergic synapse","C1_05_24",0,0,0,1,1,2.81359428058849e-42
"Glycosphingolipid biosynthesis - ganglio series","Glycosphingolipid biosynthesis - ganglio series","C1_05_24",0,0,0,1,1,2.25516378020213e-53
"Mucin type O-glycan biosynthesis","Mucin type O-glycan biosynthesis","C1_05_24",0,0,0,1,1,2.60970971425884e-51
"Lipoic acid metabolism","Lipoic acid metabolism","C1_05_24",0,0,0,1,1,1.72824505860827e-53
"NF-kappa B signaling pathway","NF-kappa B signaling pathway","C1_05_24",0,0,0,1,1,7.4378649799898e-43
"Oxytocin signaling pathway","Oxytocin signaling pathway","C1_05_24",0,0,0,1,1,1.31581396422395e-38
"Basal cell carcinoma","Basal cell carcinoma","C1_05_24",0,0,0,1,1,2.00186261157914e-45
"Legionellosis","Legionellosis","C1_05_24",0,0,0,1,1,3.56879432557207e-49
"Measles","Measles","C1_05_24",0,0,0,1,1,7.27440824435046e-45
"Biosynthesis of cofactors","Biosynthesis of cofactors","C1_05_24",0,0,0,1,1,1.5185902561699e-43
"Glycosaminoglycan biosynthesis - keratan sulfate","Glycosaminoglycan biosynthesis - keratan sulfate","C1_05_24",0,0,0,1,1,4.70480818473378e-53
"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism","C1_05_24",0,0,0,1,1,3.57474552099286e-52
"Fatty acid biosynthesis","Fatty acid biosynthesis","C1_05_24",1,0,1,0.028,1,1.44315867204862e-53
"Hypertrophic cardiomyopathy","Hypertrophic cardiomyopathy","C1_05_24",0,0,0,1,1,1.34459505790545e-39
"Glucagon signaling pathway","Glucagon signaling pathway","C1_05_24",0,0,0,1,1,3.00848306204655e-44
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","C1_05_24",0,0,0,1,1,4.796797799021e-50
"Steroid biosynthesis","Steroid biosynthesis","C1_05_24",0,0,0,1,1,3.02325161636826e-53
"cGMP-PKG signaling pathway","cGMP-PKG signaling pathway","C1_05_24",0,0,0,1,1,6.74808506189311e-38
"Phagosome","Phagosome","C1_05_24",0,0,0,1,1,1.58949052396589e-48
"Arginine and proline metabolism","Arginine and proline metabolism","C1_05_24",0,0,0,1,1,1.29482112501066e-49
"Pyruvate metabolism","Pyruvate metabolism","C1_05_24",0,0,0,1,1,2.69955936927379e-50
"Type II diabetes mellitus","Type II diabetes mellitus","C1_05_24",0,0,0,1,1,5.94893635505649e-48
"Dilated cardiomyopathy","Dilated cardiomyopathy","C1_05_24",0,0,0,1,1,1.78073834494907e-38
"Alcoholic liver disease","Alcoholic liver disease","C1_05_24",0,0,0,1,1,1.66762190688216e-41
"Leukocyte transendothelial migration","Leukocyte transendothelial migration","C1_05_24",0,0,0,1,1,4.81745362865981e-44
"Glycosaminoglycan degradation","Glycosaminoglycan degradation","C1_05_24",0,0,0,1,1,3.82655403517291e-53
"Endocrine and other factor-regulated calcium reabsorption","Endocrine and other factor-regulated calcium reabsorption","C1_05_24",0,0,0,1,1,1.00394415062518e-45
"Ubiquinone and other terpenoid-quinone biosynthesis","Ubiquinone and other terpenoid-quinone biosynthesis","C1_05_24",0,0,0,1,1,4.75173587139298e-53
"Fc epsilon RI signaling pathway","Fc epsilon RI signaling pathway","C1_05_24",0,0,0,1,1,6.76590190169444e-49
"Glycine, serine and threonine metabolism","Glycine, serine and threonine metabolism","C1_05_24",0,0,0,1,1,6.55596307008561e-50
"Pertussis","Pertussis","C1_05_24",0,0,0,1,1,5.87875302097494e-47
"Aldosterone synthesis and secretion","Aldosterone synthesis and secretion","C1_05_24",0,0,0,1,1,2.13170578685482e-42
"Regulation of lipolysis in adipocytes","Regulation of lipolysis in adipocytes","C1_05_24",0,0,0,1,1,3.02145756459619e-46
"Cholinergic synapse","Cholinergic synapse","C1_05_24",0,0,0,1,1,4.92303945020871e-42
"Osteoclast differentiation","Osteoclast differentiation","C1_05_24",1,0,1,0.345,1,4.80536383631659e-41
"Pentose phosphate pathway","Pentose phosphate pathway","C1_05_24",0,0,0,1,1,1.2290478786852e-51
"beta-Alanine metabolism","beta-Alanine metabolism","C1_05_24",0,0,0,1,1,2.30081454873894e-51
"PPAR signaling pathway","PPAR signaling pathway","C1_05_24",1,0,1,0.161,1,5.26576168381295e-48
"Folate biosynthesis","Folate biosynthesis","C1_05_24",0,0,0,1,1,9.73641185891052e-54
"Influenza A","Influenza A","C1_05_24",0,0,0,1,1,3.72757903414018e-44
"Th17 cell differentiation","Th17 cell differentiation","C1_05_24",0,0,0,1,1,6.7475359214331e-46
"Cardiac muscle contraction","Cardiac muscle contraction","C1_05_24",0,0,0,1,1,4.28311466214446e-46
"Nicotinate and nicotinamide metabolism","Nicotinate and nicotinamide metabolism","C1_05_24",0,0,0,1,1,1.66389163039435e-51
"Aldosterone-regulated sodium reabsorption","Aldosterone-regulated sodium reabsorption","C1_05_24",0,0,0,1,1,3.34645531477777e-51
"Neutrophil extracellular trap formation","Neutrophil extracellular trap formation","C1_05_24",0,0,0,1,1,1.03753149216536e-42
"Th1 and Th2 cell differentiation","Th1 and Th2 cell differentiation","C1_05_24",0,0,0,1,1,6.76590190169444e-49
"NOD-like receptor signaling pathway","NOD-like receptor signaling pathway","C1_05_24",0,0,0,1,1,1.10332132822779e-39
"Cortisol synthesis and secretion","Cortisol synthesis and secretion","C1_05_24",0,0,0,1,1,3.40059866307466e-44
"GnRH secretion","GnRH secretion","C1_05_24",0,0,0,1,1,1.06324082915395e-47
"Vascular smooth muscle contraction","Vascular smooth muscle contraction","C1_05_24",0,0,0,1,1,5.83048327221213e-41
"Estrogen signaling pathway","Estrogen signaling pathway","C1_05_24",0,0,0,1,1,4.08648091581047e-41
"RIG-I-like receptor signaling pathway","RIG-I-like receptor signaling pathway","C1_05_24",0,0,0,1,1,5.1354640922594e-49
"Amoebiasis","Amoebiasis","C1_05_24",0,0,0,1,1,3.96311990701007e-41
"ECM-receptor interaction","ECM-receptor interaction","C1_05_24",0,0,0,1,1,1.19615183468973e-39
"Renin secretion","Renin secretion","C1_05_24",0,0,0,1,1,4.57735884791639e-46
"Collecting duct acid secretion","Collecting duct acid secretion","C1_05_24",0,0,0,1,1,4.34736920328128e-52
"Viral myocarditis","Viral myocarditis","C1_05_24",0,0,0,1,1,9.04655817255091e-50
"B cell receptor signaling pathway","B cell receptor signaling pathway","C1_05_24",0,0,0,1,1,8.22254768474346e-47
"Glutamatergic synapse","Glutamatergic synapse","C1_05_24",0,0,0,1,1,4.93387126429356e-43
"Cytosolic DNA-sensing pathway","Cytosolic DNA-sensing pathway","C1_05_24",0,0,0,1,1,3.97266228192584e-47
