"","condition","cycle","region","log2fc.mean.x","log2fc.sd","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.sum","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met","log2fc.mean.y","log2fc.norm","log2fc.norm.sd"
"112","control","1","histone modification",-0.471679166426281,0.915078526446822,2,0.666666666666667,1.15470053837925,1.73205080756888,3,1,0.64635769558163,1,NA,"GO:0016570",28,"FALSE",-1.07627289683196,0.604593730405679,0.397073346477591
"113","control","1","immune system development",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.923478986813174,1,NA,"GO:0002520",47,"FALSE",-1.05664166714744,1.38997500048077,0.397073346477591
"114","control","1","in utero embryonic development",-1,0,0,0,0,NA,3,1,0.547040034097329,1,NA,"GO:0001701",11,"FALSE",-0.0196312296845227,-0.980368770315477,0.397073346477591
"115","control","1","inner cell mass cell proliferation",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0001833",747,"FALSE",0,0,0.397073346477591
"116","control","1","inositol phosphate catabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0071545",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
"117","control","1","interferon-beta production",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0032608",747,"FALSE",-0.666666666666667,0.666666666666667,0.397073346477591
"118","control","1","intermembrane lipid transfer",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0120009",747,"FALSE",0,0,0.397073346477591
"119","control","1","intracellular lipid transport",0.52832083357372,0.915078526446824,2,0.666666666666667,1.15470053837925,1.73205080756888,0,0,0.130350564504871,1,NA,"GO:0032365",26,"FALSE",0.52832083357372,0,0.397073346477591
"120","control","1","intraciliary transport",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0042073",747,"FALSE",0.666666666666667,-0.666666666666667,0.397073346477591
"121","control","1","iron ion homeostasis",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0055072",747,"FALSE",0,0,0.397073346477591
"122","control","1","iron-sulfur cluster assembly",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0016226",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
"123","control","1","kinetochore organization",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0051383",747,"FALSE",0,0,0.397073346477591
"124","control","1","lamellipodium assembly",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0030032",747,"FALSE",-0.138345833092948,0.138345833092948,0.397073346477591
"125","control","1","lamellipodium morphogenesis",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0072673",747,"FALSE",0,0,0.397073346477591
"126","control","1","lamellipodium organization",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0097581",747,"FALSE",-0.471679166426281,0.471679166426281,0.397073346477591
"127","control","1","limb development",0.52832083357372,0.915078526446824,2,0.666666666666667,1.15470053837925,1.73205080756888,0,0,0.546969396648522,1,NA,"GO:0060173",26,"FALSE",0.77397603162912,-0.2456551980554,0.397073346477591
"128","control","1","lipoprotein catabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0042159",747,"FALSE",0.666666666666667,-0.666666666666667,0.397073346477591
