CTL_A ENU_A CTL_B ENU_B CTL_C ENU_C
ENSG00000026025 103559 88507 149872 132612 70451 90694
ENSG00000026036 161 87 185 79 172 207
ENSG00000026103 573 482 787 592 543 737
ENSG00000026297 275 215 314 232 236 261
ENSG00000026508 25640 23657 30220 23409 27631 37347
ENSG00000026559 246 203 240 138 351 472
ENSG00000026652 201 159 216 134 180 284
ENSG00000026950 524 373 685 562 390 519
ENSG00000027001 314 251 284 259 390 489
ENSG00000027075 16 14 9 17 13 17
ENSG00000027697 470 393 694 488 465 645
ENSG00000027847 967 770 958 781 630 633
ENSG00000028116 435 298 523 398 291 385
ENSG00000028137 633 447 742 587 323 342
ENSG00000028203 1612 1263 1943 1474 1413 1870
ENSG00000028277 171 145 118 48 55 60
ENSG00000028310 710 572 914 707 722 894
ENSG00000028528 1543 1208 1951 1259 1382 1991
ENSG00000028839 207 185 254 210 255 292
ENSG00000029153 1482 1134 2211 1569 607 955
ENSG00000029363 1614 1225 1621 1033 2599 3438
ENSG00000029364 1449 1150 1820 1423 1059 1447
ENSG00000029534 33 56 70 53 22 32
ENSG00000029639 115 96 174 111 171 181
ENSG00000029725 1229 893 1398 970 1014 1387
ENSG00000029993 166 132 198 119 323 457
ENSG00000030066 751 620 960 667 725 1007
ENSG00000030110 293 238 305 197 266 297
ENSG00000030419 161 145 170 141 96 140
ENSG00000030582 6837 6109 8112 6627 4387 5606
ENSG00000031003 263 232 290 235 305 461
ENSG00000031081 294 286 244 174 356 487
ENSG00000031544 19 4 19 8 14 12
ENSG00000031691 66 52 67 52 35 66
ENSG00000031698 2568 2097 2879 2028 4185 5419
ENSG00000031823 989 856 1426 900 1054 1247
ENSG00000032219 396 335 542 358 305 467
ENSG00000032389 320 241 365 223 290 367
ENSG00000032444 3301 2610 4623 3487 1992 2461
ENSG00000032742 103 78 113 64 170 277
ENSG00000033011 270 255 323 209 402 553
ENSG00000033030 331 240 419 321 306 427
ENSG00000033050 827 755 1099 701 1129 1548
ENSG00000033100 4512 3748 5135 3860 2868 3357
ENSG00000033170 749 583 941 554 574 808
ENSG00000033178 898 742 1020 795 834 1084
ENSG00000033327 433 350 474 497 276 383
ENSG00000033627 541 404 624 456 511 716
ENSG00000033800 472 322 550 369 307 388
ENSG00000033867 1703 1202 1822 1353 1155 1639
ENSG00000034053 1018 771 1216 770 478 712
ENSG00000034063 387 332 405 164 480 1029
ENSG00000034152 970 806 1138 792 734 840
ENSG00000034510 5689 5410 6285 5145 7416 7433
ENSG00000034533 84 62 112 82 41 90
ENSG00000034677 803 645 1024 650 632 908
ENSG00000034693 108 86 135 91 123 185
ENSG00000034713 961 859 1236 939 709 855
ENSG00000035115 250 222 291 231 337 390
ENSG00000035141 328 289 420 263 433 548
ENSG00000035403 13590 10282 16320 9353 15917 22944
ENSG00000035499 25 21 31 13 32 54
ENSG00000035681 692 483 828 547 690 925
ENSG00000035687 640 510 713 512 997 1222
ENSG00000035862 19991 16848 26570 19791 17247 24681
ENSG00000035928 1087 914 1506 1130 801 1193
ENSG00000036054 1493 1020 1696 1514 1210 1550
ENSG00000036257 2072 1487 2798 1903 1537 2005
ENSG00000036549 974 717 1111 896 713 1031
ENSG00000036672 6 19 15 20 5 7
ENSG00000037042 238 187 294 248 169 212
ENSG00000037241 236 208 292 237 341 292
ENSG00000037474 760 638 787 528 1066 1347
ENSG00000037637 477 355 435 295 419 456
ENSG00000037749 845 659 1055 658 630 1011
ENSG00000037757 534 375 683 452 437 566
ENSG00000037897 71 41 63 47 98 129
ENSG00000038002 263 231 267 202 346 368
ENSG00000038210 401 331 517 361 321 445
ENSG00000038219 1036 906 1319 1094 1199 1675
ENSG00000038274 1115 877 1375 993 1052 1380
ENSG00000038358 1293 1035 1498 1012 1188 1458
ENSG00000038382 15146 11984 19616 13386 11484 15982
ENSG00000038427 2708 2529 2596 1633 6469 8633
ENSG00000038532 796 633 939 645 596 825
ENSG00000038945 35 54 61 83 16 13
ENSG00000039123 1021 796 1252 867 1042 1523
ENSG00000039139 850 669 1010 660 737 1240
ENSG00000039319 879 662 885 572 844 1240
ENSG00000039523 1587 1277 1922 1371 1280 1674
ENSG00000039537 37 48 32 32 2 11
ENSG00000039560 11435 8903 12613 8316 8889 12149
ENSG00000039650 340 213 307 234 299 364
ENSG00000040199 338 268 446 224 220 403
ENSG00000040275 186 172 246 147 245 431
ENSG00000040341 594 504 778 568 516 790
ENSG00000040487 263 133 297 259 170 214
ENSG00000040531 249 254 411 284 193 227
ENSG00000040608 3 4 2 6 5 3
ENSG00000040633 560 495 638 428 593 716
ENSG00000040933 485 415 563 332 476 569
ENSG00000041357 1214 848 1424 820 1671 2065
ENSG00000041802 279 191 263 193 449 607
ENSG00000041880 450 380 733 531 404 497
ENSG00000041982 5303 3006 4210 1103 18330 19342
ENSG00000041988 264 245 293 218 166 193
ENSG00000042062 487 358 688 478 98 195
ENSG00000042088 258 254 330 193 214 323
ENSG00000042286 289 223 360 243 476 575
ENSG00000042317 668 486 902 718 410 557
ENSG00000042429 479 403 563 432 479 680
ENSG00000042445 724 659 1013 884 799 1145
ENSG00000042493 1073 936 1772 1243 618 830
ENSG00000042753 1575 1292 1784 1275 1701 1919
ENSG00000042832 24 31 33 30 26 27
ENSG00000043093 467 352 553 390 444 605
ENSG00000043143 512 474 660 463 397 529
ENSG00000043514 213 207 280 170 276 342
ENSG00000044090 2788 2427 3557 3298 1804 2321
ENSG00000044115 8582 6705 11239 7297 9509 13131
ENSG00000044446 276 263 348 231 310 367
ENSG00000044459 272 220 324 276 307 388
ENSG00000044574 11079 9679 9956 6321 14246 18733
ENSG00000046604 33 51 28 25 17 32
ENSG00000046647 197 158 235 180 197 213
ENSG00000046651 384 347 541 388 271 471
ENSG00000047056 423 373 521 444 396 419
ENSG00000047188 776 605 1045 700 790 1075
ENSG00000047230 381 360 478 359 222 412
ENSG00000047249 631 509 862 525 644 835
ENSG00000047315 2162 1734 2687 1795 2340 3149
ENSG00000047346 229 250 356 272 234 342
ENSG00000047410 1978 1745 2378 1823 2249 3192
ENSG00000047578 364 306 400 263 388 513
ENSG00000047579 119 145 194 100 158 182
ENSG00000047617 32 20 35 33 0 4
ENSG00000047621 166 133 182 87 220 295
ENSG00000047634 316 226 400 308 191 257
ENSG00000047644 1619 1301 1778 1325 919 1319
ENSG00000047648 116 102 167 110 104 134
ENSG00000047662 70 65 74 50 49 87
ENSG00000047849 15582 12497 20481 14521 15432 20406
ENSG00000047932 998 836 1171 879 1263 1444
ENSG00000048028 364 239 487 304 351 452
ENSG00000048052 145 116 217 155 43 52
ENSG00000048140 1032 799 1206 824 1000 1242
